,policy_id,insured_occupation_pred_0,insured_occupation_pred_1,insured_hobbies_pred_0,insured_hobbies_pred_1,auto_make_pred_0,auto_make_pred_1,auto_model_pred_0,auto_model_pred_1,insured_education_level_pred_0,insured_education_level_pred_1,incident_state_pred_0,incident_state_pred_1,incident_city_pred_0,incident_city_pred_1,customer_months_log,policy_annual_premium_log,insured_zip_log,capital-gains_log,capital-loss_log,incident_hour_of_the_day_log,number_of_vehicles_involved_log,property_claim_log,vehicle_claim_log,total_claim_amount_log,detla_time_log,auto_year_log,policy_state_A,policy_state_B,policy_state_C,policy_state_nan,policy_csl_100/300,policy_csl_250/500,policy_csl_500/1000,policy_csl_nan,insured_sex_FEMALE,insured_sex_MALE,insured_sex_nan,insured_relationship_husband,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,insured_relationship_nan,incident_type_Multi-vehicle Collision,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,incident_type_nan,collision_type_?,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,collision_type_nan,incident_severity_Major Damage,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,incident_severity_nan,authorities_contacted_Ambulance,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,authorities_contacted_nan,property_damage_?,property_damage_NO,property_damage_YES,property_damage_nan,police_report_available_?,police_report_available_NO,police_report_available_YES,police_report_available_nan,picked_month_12月,picked_month_1月,picked_month_2月,picked_month_3月,picked_month_nan,policy_deductable_box_A,policy_deductable_box_B,policy_deductable_box_C,policy_deductable_box_nan,bodily_injuries_box_A,bodily_injuries_box_B,bodily_injuries_box_C,bodily_injuries_box_nan
0,122576,0.687500000000005,0.31249999999999495,0.7096774193548467,0.2903225806451533,0.76,0.24,0.6875000445461443,0.31249995545385567,0.7875,0.2125,0.7384615384615385,0.26153846153846155,0.7466666666666667,0.25333333333333335,5.476505392060385,7.323645852573884,13.029164189887092,11.03896216657162,3.9122229854308124,4.262820712194002,3.932021691934835,8.66595968822347,10.70328963567359,10.914724943603542,6.287877147349636,7.625599950169337,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,937713,0.7435897435897436,0.25641025641025633,0.7187500000000021,0.2812499999999979,0.687500000000005,0.31249999999999495,0.4166813939514541,0.583318606048546,0.7083333333333334,0.2916666666666667,0.7384615384615385,0.26153846153846155,0.7551020408163265,0.24489795918367346,5.6490094488089095,6.769928962074734,13.291016968328893,10.362683298961091,3.9122229854308124,3.9891692146047997,3.9704805749997147,9.230732041439232,10.529346033682666,10.834272927682735,8.748941217830874,7.62364683408516,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2,680237,0.7678571428571429,0.23214285714285715,0.7619047617880369,0.238095238211963,0.8648648648648648,0.13513513513513523,0.9230769230700521,0.07692307692994788,0.7654320987654321,0.2345679012345679,0.8141592920353983,0.18584070796460178,0.7763157894736842,0.2236842105263158,4.290596418067994,7.546451553563131,13.00028615742175,3.9122229854308124,10.673966307428149,3.9122229854308124,3.932021691934835,9.137448122071069,10.425075355734851,10.776432482766415,8.849515399999786,7.626575079573133,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3,513080,0.7142857142857143,0.2857142857142857,0.7368421054382491,0.2631578945617507,0.7333333333333333,0.26666666666666666,0.8333333229506249,0.16666667704937507,0.7083333333333334,0.2916666666666667,0.8141592920353983,0.18584070796460178,0.7763157894736842,0.2236842105263158,5.560720091814363,7.558673225324346,12.993297451156293,3.9122229854308124,10.809526110006933,4.248638088989106,3.9704805749997147,8.700349399791632,10.889267219504003,11.140585752406489,7.749757714752876,7.627062287927675,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4,192875,0.7435897435897436,0.25641025641025633,0.7368421054382491,0.2631578945617507,0.736842105263158,0.2631578947368421,0.6923085067314225,0.3076914932685775,0.6712328767123288,0.3287671232876712,0.6788321167883211,0.32116788321167883,0.7763157894736842,0.2236842105263158,4.87527365616558,6.764185094449026,13.370199556918665,11.229846249766059,11.208287246148785,4.077706921069077,3.9704805749997147,9.244839378473516,10.635855686633942,10.998359688879722,8.48260381703785,7.627549259025825,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5,690246,0.8181818181818156,0.1818181818181845,0.84999999834102,0.15000000165897992,0.7272727272727273,0.2727272727272727,0.7499995946618866,0.2500004053381134,0.7083333333333334,0.2916666666666667,0.6788321167883211,0.32116788321167883,0.7551020408163265,0.24489795918367346,5.872145958092761,7.4037677274089235,13.089220179485046,9.328835154280817,3.9122229854308124,4.111037785163761,3.9891692146047997,8.805226702106365,10.572752048675314,10.968612169385713,8.645060322356267,7.62364683408516,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6,750108,0.5813953488372093,0.4186046511627907,0.8529411764705869,0.14705882352941319,0.8095238095238095,0.19047619047619047,0.7999998668023182,0.20000013319768184,0.7058823529411765,0.29411764705882354,0.7721518987341772,0.22784810126582278,0.7111111111111111,0.28888888888888886,5.880560918971476,7.308382034450049,13.044516445582897,10.946604925336946,10.49476838350141,4.204841861985079,3.9704805749997147,8.654344773241114,10.647613215435511,10.8919688910215,7.657759994789274,7.631921360369247,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
7,237180,0.7674418604651163,0.23255813953488372,0.7948717948717948,0.20512820512820512,0.7333333333333333,0.26666666666666666,0.8333333229506249,0.16666667704937507,0.7058823529411765,0.29411764705882354,0.8141592920353983,0.18584070796460178,0.7195121951219512,0.2804878048780488,5.030503278733722,7.226848805388011,13.039264358967603,11.186696724145934,3.9122229854308124,3.9891692146047997,3.9704805749997147,8.608679706687326,10.677062212889169,11.05712465646658,7.888338251669354,7.63143651422567,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
8,300549,0.7619047619047619,0.23809523809523808,0.7368421054382491,0.2631578945617507,0.7142857142857143,0.2857142857142857,0.6400000000103718,0.3599999999896281,0.6712328767123288,0.3287671232876712,0.6788321167883211,0.32116788321167883,0.726027397260274,0.273972602739726,4.564452352709532,6.908035239789453,13.322842434505022,10.695189869601746,11.100692657559934,4.290596418067994,3.9704805749997147,9.91299273482042,10.707885591572397,11.221503206735692,7.372124313673156,7.627549259025825,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
9,532414,0.6739130434782609,0.32608695652173914,0.888888888886836,0.11111111111316399,0.7272727272727273,0.2727272727272727,0.733333350823938,0.266666649176062,0.7654320987654321,0.2345679012345679,0.7721518987341772,0.22784810126582278,0.7195121951219512,0.2804878048780488,5.7991229570317016,7.218499367030619,13.0294473513254,11.147988052080528,11.163226276632006,4.189806245700679,3.9704805749997147,9.451717477097098,10.54106943193091,10.924750904846483,8.692491811687395,7.629008751089852,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
