policy_id,fraud
681822,0
301288,0
212001,0
797680,0
789334,0
275166,0
753093,0
464667,0
663141,0
248351,0
778894,0
644825,0
770514,0
484325,0
925974,0
152491,0
511885,0
782820,0
389475,0
686772,0
940840,0
621475,0
208514,0
928992,0
401273,0
926123,0
430800,0
823727,0
217473,0
205749,0
512081,0
961804,0
839604,0
610885,0
112834,0
426251,0
202252,0
616367,0
770951,0
291826,0
133119,0
127997,0
637024,0
462878,0
327212,0
411477,0
162576,0
140990,0
148183,0
636682,0
654998,0
388619,0
250047,0
293050,0
492128,0
500255,0
179293,0
466711,0
344847,0
666233,0
775687,0
591378,0
220783,0
289448,0
605127,0
439694,0
441937,0
782283,0
678710,0
609317,0
728836,0
957002,0
684323,0
391330,0
985533,0
333029,0
968702,0
654142,0
707117,0
780020,0
661375,0
156253,0
606310,0
381244,0
921868,0
664606,0
841122,0
259695,0
807162,0
155724,0
682848,0
511789,0
378599,0
897134,0
796642,0
543155,0
231021,0
902777,0
233983,0
1017754,0
754547,0
925210,0
168764,0
856942,0
682012,0
299311,0
647869,0
533140,0
649079,0
422274,0
929971,0
520537,0
776572,0
222510,0
172749,0
738704,0
477761,0
161790,0
863960,0
313286,0
541979,0
556332,0
179713,0
645921,0
849384,0
614512,0
807157,0
877608,0
594059,0
895903,0
698071,0
413489,0
171987,0
966581,0
841397,0
217809,0
554565,0
534103,0
716202,0
447728,0
675298,0
111626,0
645695,0
223240,0
578621,0
345467,0
279404,0
287471,0
730486,0
571165,0
576836,0
764272,0
445527,0
900497,0
564461,0
506524,0
903330,0
597895,0
536923,0
149034,0
148435,0
939743,0
477621,0
444707,0
966152,0
663539,0
603174,0
156546,0
658586,0
250832,0
412094,0
965632,0
296010,0
821594,0
320404,0
467978,0
842518,0
780286,0
415298,0
342144,0
395587,0
431471,0
273703,0
346072,0
577233,0
367987,0
480869,0
232367,0
181642,0
185870,0
492891,0
339043,0
788031,0
908334,0
247446,0
487169,0
916113,0
973109,0
374580,0
377829,0
973873,0
400899,0
183643,0
316802,0
282972,0
913765,0
693457,0
980023,0
846995,0
688362,0
250951,0
882850,0
838173,0
480884,0
788520,0
206851,0
434086,0
284278,0
477670,0
857489,0
346339,0
243912,0
109865,0
628167,0
536920,0
912686,0
901268,0
424208,0
261905,0
563720,0
360692,0
206541,0
468086,0
392780,0
176442,0
388910,0
687698,0
463863,0
479010,0
166116,0
949955,0
180644,0
135236,0
754567,0
430975,0
841315,0
639847,0
866870,0
804517,0
274001,0
482029,0
431478,0
276348,0
546758,0
693415,0
235652,0
529472,0
676552,0
437582,0
831513,0
493446,0
593332,0
428847,0
758626,0
942162,0
830611,0
606210,0
502360,0
438012,0
268884,0
693669,0
978322,0
404869,0
628477,0
225347,0
457928,0
1023865,0
351416,0
441909,0
117633,0
887070,0
299199,0
174690,0
815400,0
265475,0
665842,0
889820,0
353959,0
811880,0
573188,0
870334,0
500418,0
186478,0
150112,0
936492,0
663065,0
283767,0
325099,0
465673,0
913900,0
